open_ms,open,high,low,close,volume,close_ms
1766952000000,153.24,154.22,152.64,153.64,7542.595,1766966399999
1766966400000,153.65,157.86,152.88,157.5,14781.485,1766980799999
1766980800000,157.5,159.5,153.58,154.11,36673.652,1766995199999
1766995200000,154.12,154.23,150.72,151.95,37508.613,1767009599999
1767009600000,151.95,152.4,149.84,151.21,16167.827,1767023999999
1767024000000,151.2,151.66,149.3,149.67,8523.503,1767038399999
1767038400000,149.67,150.08,148.47,149.5,10966.412,1767052799999
1767052800000,149.49,151.32,149.3,151.12,6165.587,1767067199999
1767067200000,151.13,152.13,150.11,150.98,6020.556,1767081599999
1767081600000,150.99,152.59,149.65,150.02,26136.346,1767095999999
1767096000000,150.03,151.89,149.65,150.92,9498.302,1767110399999
1767110400000,150.93,151.71,149.18,150.22,8130.621,1767124799999
1767124800000,150.21,150.37,148.96,149.52,9377.736,1767139199999
1767139200000,149.51,150.27,148.77,149.53,7695.277,1767153599999
1767153600000,149.53,150.95,149.23,150.17,8375.244,1767167999999
1767168000000,150.15,150.73,149.1,149.66,8523.179,1767182399999
1767182400000,149.66,150.38,146.76,147.42,15898.892,1767196799999
1767196800000,147.44,148.04,144.16,144.35,21662.356,1767211199999
1767211200000,144.36,147.18,143.63,146.02,18705.782,1767225599999
1767225600000,146.02,146.73,145.69,146.16,5846.134,1767239999999
1767240000000,146.17,146.7,145.4,146.05,6133.121,1767254399999
1767254400000,146.05,146.5,145.74,146.35,4965.297,1767268799999
1767268800000,146.34,147.0,145.1,146.51,6265.629,1767283199999
1767283200000,146.51,148.71,146.23,148.64,7686.208,1767297599999
1767297600000,148.64,149.59,147.34,148.93,7026.17,1767311999999
1767312000000,148.93,151.31,147.89,150.84,11346.238,1767326399999
1767326400000,150.85,151.17,149.29,149.61,8869.853,1767340799999
1767340800000,149.6,153.14,149.56,150.74,19401.139,1767355199999
1767355200000,150.73,155.16,149.94,154.11,25698.26,1767369599999
1767369600000,154.12,157.48,153.05,156.87,24417.954,1767383999999
1767384000000,156.88,166.0,156.66,165.22,66342.368,1767398399999
1767398400000,165.22,166.1,164.03,165.14,23830.878,1767412799999
1767412800000,165.12,168.06,161.07,161.74,28577.837,1767427199999
1767427200000,161.72,162.4,158.25,158.52,23517.656,1767441599999
1767441600000,158.53,160.64,157.86,159.83,14683.248,1767455999999
1767456000000,159.82,161.1,159.7,160.57,4859.136,1767470399999
1767470400000,160.57,163.17,159.41,163.14,11642.605,1767484799999
1767484800000,163.14,164.92,162.58,164.38,9546.499,1767499199999
1767499200000,164.38,164.92,161.14,161.57,8437.88,1767513599999
1767513600000,161.58,164.35,160.74,164.15,12724.163,1767527999999
1767528000000,164.16,166.16,163.31,164.61,18200.921,1767542399999
1767542400000,164.6,166.13,161.87,162.59,12008.375,1767556799999
1767556800000,162.6,165.33,162.36,164.23,7031.31,1767571199999
