open_ms,open,high,low,close,volume,close_ms
1613347200000,20.8295,32.999,16.8421,28.7763,59922797.89,1613951999999
1613952000000,28.7958,29.1458,18.1,22.2098,57585692.53,1614556799999
1614556800000,22.2152,34.88,22.0527,34.2651,45294004.74,1615161599999
1615161600000,34.2459,34.9277,29.1548,30.6509,27028754.88,1615766399999
1615766400000,30.6494,35.2005,27.9781,32.9395,19839055.71,1616371199999
1616371200000,32.9399,36.8,25.5247,27.8685,33177649.91,1616975999999
1616976000000,27.8714,32.5,26.666,30.9131,19577409.4,1617580799999
1617580800000,30.9134,32.4508,27.7907,29.9063,14683652.29,1618185599999
1618185600000,29.9131,39.6,26.9787,31.6225,39445393.27,1618790399999
1618790400000,31.6364,38.4579,28.0,34.352,42467585.433,1619395199999
1619395200000,34.358,44.0,34.044,42.62,33867887.409,1619999999999
1620000000000,42.619,45.0,38.064,39.43,33510186.543,1620604799999
1620604800000,39.422,44.044,33.46,36.598,29742390.742,1621209599999
1621209600000,36.597,36.63,13.0,16.709,52156327.25,1621814399999
1621814400000,16.709,30.0,16.493,25.716,53718173.966,1622419199999
1622419200000,25.7,29.382,23.433,25.861,28837420.43,1623023999999
1623024000000,25.863,27.335,20.239,23.255,22154291.476,1623628799999
1623628800000,23.255,24.69,18.622,20.704,13186776.568,1624233599999
1624233600000,20.705,20.873,13.93,17.097,25104138.531,1624838399999
1624838400000,17.082,21.498,16.87,20.757,16647071.954,1625443199999
1625443200000,20.751,23.456,19.068,20.7,21108541.297,1626047999999
1626048000000,20.7,21.45,15.918,16.305,19666845.11,1626652799999
1626652800000,16.311,18.941,14.013,18.285,19614843.754,1627257599999
1627257600000,18.273,23.22,17.67,21.979,20493133.861,1627862399999
1627862400000,21.976,29.0,20.624,26.722,21948847.067,1628467199999
1628467200000,26.697,30.65,25.378,30.239,19561078.026,1629071999999
1629072000000,30.239,31.257,25.306,28.4,19929615.854,1629676799999
1629676800000,28.4,29.627,25.02,26.78,12744491.261,1630281599999
1630281600000,26.8,31.41,25.55,29.37,23848351.042,1630886399999
1630886400000,29.35,30.3,21.0,23.74,26782587.298,1631491199999
1631491200000,23.74,27.62,21.37,23.87,18784500.75,1632095999999
1632096000000,23.89,24.76,17.73,24.04,29239674.27,1632700799999
1632700800000,24.04,27.23,22.15,26.0,35328751.38,1633305599999
1633305600000,26.01,26.3,23.79,24.17,14497893.99,1633910399999
1633910400000,24.15,27.99,22.3,25.91,21165527.1,1634515199999
1634515200000,25.92,27.76,24.85,25.79,11159806.81,1635119999999
